@relation inflection_verbs
@attribute ending {ar,er,ir}
@attribute endingstem string
@attribute penSyl string
@attribute person {0, 1, 2, 3}
@attribute number {0, 1}
@attribute tense {0, 1, 2, 3, 4}
@attribute mood {0, 1, 2, 3}
@attribute suff1 string
@attribute suff2 string
@attribute stemC1 string
@attribute stemC2 string
@attribute stemC3 {ANY, yag}
instancia[1].equalsIgnoreCase("ANY") 
@data
ir,ANY,ANY,1,1,2,0,iremos,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,1,2,0,iréis,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,1,2,0,irán,ANY,ANY,ANY,ANY
ir,ANY,ANY,1,0,4,0,iría,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,0,4,0,irías,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,0,4,0,iría,ANY,ANY,ANY,ANY
ir,ANY,ANY,1,1,4,0,iríamos,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,1,4,0,iríais,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,1,4,0,irían,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,0,0,2,e,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,1,0,2,id,ANY,ANY,ANY,ANY
ir,ANY,ANY,0,0,0,3,ir,ANY,ANY,ANY,ANY
ir,ANY,ANY,0,0,1,3,ido,ANY,ANY,ANY,ANY
ir,ANY,ANY,0,0,2,3,iendo,ANY,ANY,ANY,ANY
ir,ANY,ANY,1,0,0,1,a,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,0,0,1,as,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,0,0,1,a,ANY,ANY,ANY,ANY
ir,ANY,ANY,1,1,0,1,amos,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,1,0,1,áis,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,1,0,1,an,ANY,ANY,ANY,ANY
ir,ANY,ANY,1,0,1,1,iera,iese,ANY,ANY,ANY
ir,ANY,ANY,2,0,1,1,ieras,ieses,ANY,ANY,ANY
ir,ANY,ANY,3,0,1,1,iera,iese,ANY,ANY,ANY
ir,ANY,ANY,1,1,1,1,iéramos,iésemos,ANY,ANY,ANY
ir,ANY,ANY,2,1,1,1,ierais,ieseis,ANY,ANY,ANY
ir,ANY,ANY,3,1,1,1,ieran,iesen,ANY,ANY,ANY
ir,ANY,ANY,1,0,2,1,iere,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,0,2,1,ieres,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,0,2,1,iere,ANY,ANY,ANY,ANY
ir,ANY,ANY,1,1,2,1,iéremos,ANY,ANY,ANY,ANY
ir,ANY,ANY,2,1,2,1,iereis,ANY,ANY,ANY,ANY
ir,ANY,ANY,3,1,2,1,ieren,ANY,ANY,ANY,ANY
er,ANY,ANY,2,0,0,2,e,ANY,ANY,ANY,ANY
er,ANY,ANY,2,1,0,2,ed,ANY,ANY,ANY,ANY
er,ANY,ANY,0,0,0,3,er,ANY,ANY,ANY,ANY
er,ANY,ANY,0,0,1,3,ido,ANY,ANY,ANY,ANY
er,ANY,ANY,0,0,2,3,iendo,ANY,ANY,ANY,ANY
