infinitivo,ending,pensyl,prepensyl,pospensyl,stem,person,number,tense,mood,class_pensyl,class_suff,irregular,conjugacion
entretener,er,te,NULL,te,n,2,1,0,1,ten,gáis,1,entretengáis
entretener,er,te,NULL,te,n,3,1,0,1,ten,gan,1,entretengan
entretener,er,te,NULL,te,n,1,0,1,1,tu,viera,1,entretuviera
entretener,er,te,NULL,te,n,2,0,1,1,tu,vieras,1,entretuvieras
entretener,er,te,NULL,te,n,3,0,1,1,tu,viera,1,entretuviera
entretener,er,te,NULL,te,n,1,1,1,1,tu,viéramos,1,entretuviéramos
entretener,er,te,NULL,te,n,2,1,1,1,tu,vierais,1,entretuvierais
entretener,er,te,NULL,te,n,3,1,1,1,tu,vieran,1,entretuvieran
entretener,er,te,NULL,te,n,1,0,3,1,tu,viere,1,entretuviere
entretener,er,te,NULL,te,n,2,0,3,1,tu,vieres,1,entretuvieres
entretener,er,te,NULL,te,n,3,0,3,1,tu,viere,1,entretuviere
entretener,er,te,NULL,te,n,1,1,3,1,tu,viéremos,1,entretuviéremos
entretener,er,te,NULL,te,n,2,1,3,1,tu,viereis,1,entretuviereis
entretener,er,te,NULL,te,n,3,1,3,1,tu,vieren,1,entretuvieren
entretener,er,te,NULL,te,n,2,0,0,2,tén,0,1,entretén
entretener,er,te,NULL,te,n,3,0,0,2,ten,ga,1,entretenga
entretener,er,te,NULL,te,n,1,1,0,2,ten,gamos,1,entretengamos
entretener,er,te,NULL,te,n,3,1,0,2,ten,gan,1,entretengan
analizar,ar,li,NULL,li,z,1,0,2,0,0,cé,1,analicé
analizar,ar,li,NULL,li,z,1,0,0,1,0,ce,1,analice
analizar,ar,li,NULL,li,z,2,0,0,1,0,ces,1,analices
analizar,ar,li,NULL,li,z,3,0,0,1,0,ce,1,analice
analizar,ar,li,NULL,li,z,1,1,0,1,0,cemos,1,analicemos
analizar,ar,li,NULL,li,z,2,1,0,1,0,céis,1,analicéis
analizar,ar,li,NULL,li,z,3,1,0,1,0,cen,1,analicen
analizar,ar,li,NULL,li,z,3,0,0,2,0,ce,1,analice
analizar,ar,li,NULL,li,z,1,1,0,2,0,cemos,1,analicemos
analizar,ar,li,NULL,li,z,3,1,0,2,0,cen,1,analicen
aparecer,er,re,NULL,re,c,1,0,0,0,rez,o,1,aparezco
aparecer,er,re,NULL,re,c,1,0,0,1,rez,a,1,aparezca
aparecer,er,re,NULL,re,c,2,0,0,1,rez,as,1,aparezcas
aparecer,er,re,NULL,re,c,3,0,0,1,rez,a,1,aparezca
aparecer,er,re,NULL,re,c,1,1,0,1,rez,amos,1,aparezcamos
aparecer,er,re,NULL,re,c,2,1,0,1,rez,áis,1,aparezcáis
aparecer,er,re,NULL,re,c,3,1,0,1,rez,an,1,aparezcan
aparecer,er,re,NULL,re,c,3,0,0,2,rez,a,1,aparezca
aparecer,er,re,NULL,re,c,1,1,0,2,rez,amos,1,aparezcamos
aparecer,er,re,NULL,re,c,3,1,0,2,rez,an,1,aparezcan
aprobar,ar,pro,p,ro,b,1,0,0,0,prue,o,1,apruebo
aprobar,ar,pro,p,ro,b,2,0,0,0,prue,as,1,apruebas
aprobar,ar,pro,p,ro,b,3,0,0,0,prue,a,1,aprueba
aprobar,ar,pro,p,ro,b,3,1,0,0,prue,an,1,aprueban
aprobar,ar,pro,p,ro,b,1,0,0,1,prue,e,1,apruebe
aprobar,ar,pro,p,ro,b,2,0,0,1,prue,es,1,apruebes
aprobar,ar,pro,p,ro,b,3,0,0,1,prue,e,1,apruebe
aprobar,ar,pro,p,ro,b,3,1,0,1,prue,en,1,aprueben
aprobar,ar,pro,p,ro,b,2,0,0,2,prue,a,1,aprueba
aprobar,ar,pro,p,ro,b,3,0,0,2,prue,e,1,apruebe
aprobar,ar,pro,p,ro,b,3,1,0,2,prue,en,1,aprueben
llegar,ar,lle,l,le,g,1,0,2,0,0,ué,1,llegué
llegar,ar,lle,l,le,g,1,0,0,1,0,ue,1,llegue
llegar,ar,lle,l,le,g,2,0,0,1,0,ues,1,llegues
llegar,ar,lle,l,le,g,3,0,0,1,0,ue,1,llegue
llegar,ar,lle,l,le,g,1,1,0,1,0,uemos,1,lleguemos
llegar,ar,lle,l,le,g,2,1,0,1,0,uéis,1,lleguéis
llegar,ar,lle,l,le,g,3,1,0,1,0,uen,1,lleguen
llegar,ar,lle,l,le,g,3,0,0,2,0,ue,1,llegue
llegar,ar,lle,l,le,g,1,1,0,2,0,uemos,1,lleguemos
llegar,ar,lle,l,le,g,3,1,0,2,0,uen,1,lleguen
atacar,ar,ta,NULL,ta,c,1,0,2,0,0,qué,1,ataqué
atacar,ar,ta,NULL,ta,c,1,0,0,1,0,que,1,ataque
atacar,ar,ta,NULL,ta,c,2,0,0,1,0,ques,1,ataques
atacar,ar,ta,NULL,ta,c,3,0,0,1,0,que,1,ataque
atacar,ar,ta,NULL,ta,c,1,1,0,1,0,quemos,1,ataquemos
atacar,ar,ta,NULL,ta,c,2,1,0,1,0,quéis,1,ataquéis
atacar,ar,ta,NULL,ta,c,3,1,0,1,0,quen,1,ataquen
atacar,ar,ta,NULL,ta,c,3,0,0,2,0,que,1,ataque
atacar,ar,ta,NULL,ta,c,1,1,0,2,0,quemos,1,ataquemos
atacar,ar,ta,NULL,ta,c,3,1,0,2,0,quen,1,ataquen
prohibir,ir,hi,NULL,hi,b,1,0,0,0,hí,o,1,prohíbo
prohibir,ir,hi,NULL,hi,b,2,0,0,0,hí,es,1,prohíbes
prohibir,ir,hi,NULL,hi,b,3,0,0,0,hí,e,1,prohíbe
prohibir,ir,hi,NULL,hi,b,3,1,0,0,hí,en,1,prohíben
prohibir,ir,hi,NULL,hi,b,1,0,0,1,hí,a,1,prohíba
prohibir,ir,hi,NULL,hi,b,2,0,0,1,hí,as,1,prohíbas
prohibir,ir,hi,NULL,hi,b,3,0,0,1,hí,a,1,prohíba
prohibir,ir,hi,NULL,hi,b,3,1,0,1,hí,an,1,prohíban
prohibir,ir,hi,NULL,hi,b,2,0,0,2,hí,e,1,prohíbe
prohibir,ir,hi,NULL,hi,b,3,0,0,2,hí,a,1,prohíba
prohibir,ir,hi,NULL,hi,b,3,1,0,2,hí,an,1,prohíban
rogar,ar,ro,NULL,ro,g,1,0,0,0,rue,o,1,ruego
rogar,ar,ro,NULL,ro,g,2,0,0,0,rue,as,1,ruegas
rogar,ar,ro,NULL,ro,g,3,0,0,0,rue,a,1,ruega
rogar,ar,ro,NULL,ro,g,3,1,0,0,rue,an,1,ruegan
rogar,ar,ro,NULL,ro,g,1,0,2,0,0,ué,1,rogué
rogar,ar,ro,NULL,ro,g,1,0,0,1,rue,ue,1,ruegue
rogar,ar,ro,NULL,ro,g,2,0,0,1,rue,ues,1,ruegues
rogar,ar,ro,NULL,ro,g,3,0,0,1,rue,ue,1,ruegue
rogar,ar,ro,NULL,ro,g,1,1,0,1,0,uemos,1,roguemos
rogar,ar,ro,NULL,ro,g,2,1,0,1,0,uéis,1,roguéis
rogar,ar,ro,NULL,ro,g,3,1,0,1,rue,uen,1,rueguen
rogar,ar,ro,NULL,ro,g,2,0,0,2,rue,a,1,ruega
rogar,ar,ro,NULL,ro,g,3,0,0,2,rue,ue,1,ruegue
rogar,ar,ro,NULL,ro,g,1,1,0,2,0,uemos,1,roguemos
rogar,ar,ro,NULL,ro,g,3,1,0,2,rue,uen,1,rueguen
pertenecer,er,ne,NULL,ne,c,1,0,0,0,nez,o,1,pertenezco
pertenecer,er,ne,NULL,ne,c,1,0,0,1,nez,a,1,pertenezca
pertenecer,er,ne,NULL,ne,c,2,0,0,1,nez,as,1,pertenezcas
pertenecer,er,ne,NULL,ne,c,3,0,0,1,nez,a,1,pertenezca
pertenecer,er,ne,NULL,ne,c,1,1,0,1,nez,amos,1,pertenezcamos
pertenecer,er,ne,NULL,ne,c,2,1,0,1,nez,áis,1,pertenezcáis
pertenecer,er,ne,NULL,ne,c,3,1,0,1,nez,an,1,pertenezcan
pertenecer,er,ne,NULL,ne,c,3,0,0,2,nez,a,1,pertenezca
pertenecer,er,ne,NULL,ne,c,1,1,0,2,nez,amos,1,pertenezcamos
pertenecer,er,ne,NULL,ne,c,3,1,0,2,nez,an,1,pertenezcan
bendecir,ir,de,NULL,de,c,1,0,0,0,di,go,1,bendigo
bendecir,ir,de,NULL,de,c,2,0,0,0,di,es,1,bendices
bendecir,ir,de,NULL,de,c,3,0,0,0,di,e,1,bendice
bendecir,ir,de,NULL,de,c,3,1,0,0,di,en,1,bendicen
bendecir,ir,de,NULL,de,c,1,0,2,0,di,je,1,bendije
bendecir,ir,de,NULL,de,c,2,0,2,0,di,jiste,1,bendijiste
bendecir,ir,de,NULL,de,c,3,0,2,0,di,jo,1,bendijo
bendecir,ir,de,NULL,de,c,1,1,2,0,di,jimos,1,bendijimos
bendecir,ir,de,NULL,de,c,2,1,2,0,di,jisteis,1,bendijisteis
bendecir,ir,de,NULL,de,c,3,1,2,0,di,jeron,1,bendijeron
bendecir,ir,de,NULL,de,c,1,0,0,1,di,ga,1,bendiga
bendecir,ir,de,NULL,de,c,2,0,0,1,di,gas,1,bendigas
bendecir,ir,de,NULL,de,c,3,0,0,1,di,ga,1,bendiga
bendecir,ir,de,NULL,de,c,1,1,0,1,di,gamos,1,bendigamos
bendecir,ir,de,NULL,de,c,2,1,0,1,di,gáis,1,bendigáis
bendecir,ir,de,NULL,de,c,3,1,0,1,di,gan,1,bendigan
bendecir,ir,de,NULL,de,c,1,0,1,1,di,jera,1,bendijera
bendecir,ir,de,NULL,de,c,2,0,1,1,di,jeras,1,bendijeras
bendecir,ir,de,NULL,de,c,3,0,1,1,di,jera,1,bendijera
bendecir,ir,de,NULL,de,c,1,1,1,1,di,jéramos,1,bendijéramos
bendecir,ir,de,NULL,de,c,2,1,1,1,di,jerais,1,bendijerais
bendecir,ir,de,NULL,de,c,3,1,1,1,di,jeran,1,bendijeran
bendecir,ir,de,NULL,de,c,1,0,3,1,di,jere,1,bendijere
bendecir,ir,de,NULL,de,c,2,0,3,1,di,jeres,1,bendijeres
bendecir,ir,de,NULL,de,c,3,0,3,1,di,jere,1,bendijere
bendecir,ir,de,NULL,de,c,1,1,3,1,di,jéremos,1,bendijéremos
bendecir,ir,de,NULL,de,c,2,1,3,1,di,jereis,1,bendijereis
bendecir,ir,de,NULL,de,c,3,1,3,1,di,jeren,1,bendijeren
bendecir,ir,de,NULL,de,c,3,0,0,2,di,ga,1,bendiga
bendecir,ir,de,NULL,de,c,1,1,0,2,di,gamos,1,bendigamos
bendecir,ir,de,NULL,de,c,3,1,0,2,di,gan,1,bendigan
enceguecer,er,gue,g,ue,c,1,0,0,0,guez,o,1,enceguezco
enceguecer,er,gue,g,ue,c,1,0,0,1,guez,a,1,enceguezca
enceguecer,er,gue,g,ue,c,2,0,0,1,guez,as,1,enceguezcas
enceguecer,er,gue,g,ue,c,3,0,0,1,guez,a,1,enceguezca
enceguecer,er,gue,g,ue,c,1,1,0,1,guez,amos,1,enceguezcamos
enceguecer,er,gue,g,ue,c,2,1,0,1,guez,áis,1,enceguezcáis
enceguecer,er,gue,g,ue,c,3,1,0,1,guez,an,1,enceguezcan
enceguecer,er,gue,g,ue,c,3,0,0,2,guez,a,1,enceguezca
enceguecer,er,gue,g,ue,c,1,1,0,2,guez,amos,1,enceguezcamos
enceguecer,er,gue,g,ue,c,3,1,0,2,guez,an,1,enceguezcan
hervir,ir,her,h,er,v,1,0,0,0,hier,o,1,hiervo
hervir,ir,her,h,er,v,2,0,0,0,hier,es,1,hierves
hervir,ir,her,h,er,v,3,0,0,0,hier,e,1,hierve
hervir,ir,her,h,er,v,3,1,0,0,hier,en,1,hierven
hervir,ir,her,h,er,v,3,0,2,0,hir,ió,1,hirvió
hervir,ir,her,h,er,v,3,1,2,0,hir,ieron,1,hirvieron
hervir,ir,her,h,er,v,1,0,0,1,hier,a,1,hierva
hervir,ir,her,h,er,v,2,0,0,1,hier,as,1,hiervas
hervir,ir,her,h,er,v,3,0,0,1,hier,a,1,hierva
hervir,ir,her,h,er,v,1,1,0,1,hir,amos,1,hirvamos
hervir,ir,her,h,er,v,2,1,0,1,hir,áis,1,hirváis
hervir,ir,her,h,er,v,3,1,0,1,hier,an,1,hiervan
hervir,ir,her,h,er,v,1,0,1,1,hir,iera,1,hirviera
hervir,ir,her,h,er,v,2,0,1,1,hir,ieras,1,hirvieras
hervir,ir,her,h,er,v,3,0,1,1,hir,iera,1,hirviera
hervir,ir,her,h,er,v,1,1,1,1,hir,iéramos,1,hirviéramos
hervir,ir,her,h,er,v,2,1,1,1,hir,ierais,1,hirvierais
hervir,ir,her,h,er,v,3,1,1,1,hir,ieran,1,hirvieran
hervir,ir,her,h,er,v,1,0,3,1,hir,iere,1,hirviere
hervir,ir,her,h,er,v,2,0,3,1,hir,ieres,1,hirvieres
hervir,ir,her,h,er,v,3,0,3,1,hir,iere,1,hirviere
hervir,ir,her,h,er,v,1,1,3,1,hir,iéremos,1,hirviéremos
hervir,ir,her,h,er,v,2,1,3,1,hir,iereis,1,hirviereis
hervir,ir,her,h,er,v,3,1,3,1,hir,ieren,1,hirvieren
hervir,ir,her,h,er,v,2,0,0,2,hier,e,1,hierve
hervir,ir,her,h,er,v,3,0,0,2,hier,a,1,hierva
hervir,ir,her,h,er,v,1,1,0,2,hir,amos,1,hirvamos
hervir,ir,her,h,er,v,3,1,0,2,hier,an,1,hiervan
desafiar,ar,sa,NULL,sa,fi,1,0,0,0,0,fío,1,desafío
desafiar,ar,sa,NULL,sa,fi,2,0,0,0,0,fías,1,desafías
desafiar,ar,sa,NULL,sa,fi,3,0,0,0,0,fía,1,desafía
desafiar,ar,sa,NULL,sa,fi,3,1,0,0,0,fían,1,desafían
desafiar,ar,sa,NULL,sa,fi,1,0,0,1,0,fíe,1,desafíe
desafiar,ar,sa,NULL,sa,fi,2,0,0,1,0,fíes,1,desafíes
desafiar,ar,sa,NULL,sa,fi,3,0,0,1,0,fíe,1,desafíe
desafiar,ar,sa,NULL,sa,fi,3,1,0,1,0,fíen,1,desafíen
desafiar,ar,sa,NULL,sa,fi,2,0,0,2,0,fía,1,desafía
desafiar,ar,sa,NULL,sa,fi,3,0,0,2,0,fíe,1,desafíe
desafiar,ar,sa,NULL,sa,fi,3,1,0,2,0,fíen,1,desafíen
cargar,ar,car,c,ar,g,1,0,2,0,0,ué,1,cargué
cargar,ar,car,c,ar,g,1,0,0,1,0,ue,1,cargue
cargar,ar,car,c,ar,g,2,0,0,1,0,ues,1,cargues
cargar,ar,car,c,ar,g,3,0,0,1,0,ue,1,cargue
cargar,ar,car,c,ar,g,1,1,0,1,0,uemos,1,carguemos
cargar,ar,car,c,ar,g,2,1,0,1,0,uéis,1,carguéis
cargar,ar,car,c,ar,g,3,1,0,1,0,uen,1,carguen
cargar,ar,car,c,ar,g,3,0,0,2,0,ue,1,cargue
cargar,ar,car,c,ar,g,1,1,0,2,0,uemos,1,carguemos
cargar,ar,car,c,ar,g,3,1,0,2,0,uen,1,carguen
cazar,ar,ca,NULL,ca,z,1,0,2,0,0,cé,1,cacé
cazar,ar,ca,NULL,ca,z,1,0,0,1,0,ce,1,cace
cazar,ar,ca,NULL,ca,z,2,0,0,1,0,ces,1,caces
cazar,ar,ca,NULL,ca,z,3,0,0,1,0,ce,1,cace
cazar,ar,ca,NULL,ca,z,1,1,0,1,0,cemos,1,cacemos
cazar,ar,ca,NULL,ca,z,2,1,0,1,0,céis,1,cacéis
cazar,ar,ca,NULL,ca,z,3,1,0,1,0,cen,1,cacen
cazar,ar,ca,NULL,ca,z,3,0,0,2,0,ce,1,cace
cazar,ar,ca,NULL,ca,z,1,1,0,2,0,cemos,1,cacemos
cazar,ar,ca,NULL,ca,z,3,1,0,2,0,cen,1,cacen
verificar,ar,fi,NULL,fi,c,1,0,2,0,0,qué,1,verifiqué
verificar,ar,fi,NULL,fi,c,1,0,0,1,0,que,1,verifique
verificar,ar,fi,NULL,fi,c,2,0,0,1,0,ques,1,verifiques
verificar,ar,fi,NULL,fi,c,3,0,0,1,0,que,1,verifique
verificar,ar,fi,NULL,fi,c,1,1,0,1,0,quemos,1,verifiquemos
verificar,ar,fi,NULL,fi,c,2,1,0,1,0,quéis,1,verifiquéis
verificar,ar,fi,NULL,fi,c,3,1,0,1,0,quen,1,verifiquen
verificar,ar,fi,NULL,fi,c,3,0,0,2,0,que,1,verifique
verificar,ar,fi,NULL,fi,c,1,1,0,2,0,quemos,1,verifiquemos
verificar,ar,fi,NULL,fi,c,3,1,0,2,0,quen,1,verifiquen
mascar,ar,mas,m,as,c,1,0,2,0,0,qué,1,masqué
mascar,ar,mas,m,as,c,1,0,0,1,0,que,1,masque
mascar,ar,mas,m,as,c,2,0,0,1,0,ques,1,masques
mascar,ar,mas,m,as,c,3,0,0,1,0,que,1,masque
mascar,ar,mas,m,as,c,1,1,0,1,0,quemos,1,masquemos
mascar,ar,mas,m,as,c,2,1,0,1,0,quéis,1,masquéis
mascar,ar,mas,m,as,c,3,1,0,1,0,quen,1,masquen
mascar,ar,mas,m,as,c,3,0,0,2,0,que,1,masque
mascar,ar,mas,m,as,c,1,1,0,2,0,quemos,1,masquemos
mascar,ar,mas,m,as,c,3,1,0,2,0,quen,1,masquen
cerrar,ar,ce,NULL,ce,rr,1,0,0,0,cie,o,1,cierro
cerrar,ar,ce,NULL,ce,rr,2,0,0,0,cie,as,1,cierras
cerrar,ar,ce,NULL,ce,rr,3,0,0,0,cie,a,1,cierra
cerrar,ar,ce,NULL,ce,rr,3,1,0,0,cie,an,1,cierran
cerrar,ar,ce,NULL,ce,rr,1,0,0,1,cie,e,1,cierre
cerrar,ar,ce,NULL,ce,rr,2,0,0,1,cie,es,1,cierres
cerrar,ar,ce,NULL,ce,rr,3,0,0,1,cie,e,1,cierre
cerrar,ar,ce,NULL,ce,rr,3,1,0,1,cie,en,1,cierren
cerrar,ar,ce,NULL,ce,rr,2,0,0,2,cie,a,1,cierra
cerrar,ar,ce,NULL,ce,rr,3,0,0,2,cie,e,1,cierre
cerrar,ar,ce,NULL,ce,rr,3,1,0,2,cie,en,1,cierren
competir,ir,pe,NULL,pe,t,1,0,0,0,pi,o,1,compito
competir,ir,pe,NULL,pe,t,2,0,0,0,pi,es,1,compites
competir,ir,pe,NULL,pe,t,3,0,0,0,pi,e,1,compite
competir,ir,pe,NULL,pe,t,3,1,0,0,pi,en,1,compiten
competir,ir,pe,NULL,pe,t,3,0,2,0,pi,ió,1,compitió
competir,ir,pe,NULL,pe,t,3,1,2,0,pi,ieron,1,compitieron
competir,ir,pe,NULL,pe,t,1,0,0,1,pi,a,1,compita
competir,ir,pe,NULL,pe,t,2,0,0,1,pi,as,1,compitas
competir,ir,pe,NULL,pe,t,3,0,0,1,pi,a,1,compita
competir,ir,pe,NULL,pe,t,1,1,0,1,pi,amos,1,compitamos
competir,ir,pe,NULL,pe,t,2,1,0,1,pi,áis,1,compitáis
competir,ir,pe,NULL,pe,t,3,1,0,1,pi,an,1,compitan
competir,ir,pe,NULL,pe,t,1,0,1,1,pi,iera,1,compitiera
competir,ir,pe,NULL,pe,t,2,0,1,1,pi,ieras,1,compitieras
competir,ir,pe,NULL,pe,t,3,0,1,1,pi,iera,1,compitiera
competir,ir,pe,NULL,pe,t,1,1,1,1,pi,iéramos,1,compitiéramos
competir,ir,pe,NULL,pe,t,2,1,1,1,pi,ierais,1,compitierais
competir,ir,pe,NULL,pe,t,3,1,1,1,pi,ieran,1,compitieran
competir,ir,pe,NULL,pe,t,1,0,3,1,pi,iere,1,compitiere
competir,ir,pe,NULL,pe,t,2,0,3,1,pi,ieres,1,compitieres
competir,ir,pe,NULL,pe,t,3,0,3,1,pi,iere,1,compitiere
competir,ir,pe,NULL,pe,t,1,1,3,1,pi,iéremos,1,compitiéremos
competir,ir,pe,NULL,pe,t,2,1,3,1,pi,iereis,1,compitiereis
competir,ir,pe,NULL,pe,t,3,1,3,1,pi,ieren,1,compitieren
competir,ir,pe,NULL,pe,t,2,0,0,2,pi,e,1,compite
competir,ir,pe,NULL,pe,t,3,0,0,2,pi,a,1,compita
competir,ir,pe,NULL,pe,t,1,1,0,2,pi,amos,1,compitamos
competir,ir,pe,NULL,pe,t,3,1,0,2,pi,an,1,compitan
concernir,ir,cer,c,er,n,3,0,0,0,cier,e,1,concierne
concernir,ir,cer,c,er,n,3,1,0,0,cier,en,1,conciernen
concernir,ir,cer,c,er,n,3,0,0,1,cier,a,1,concierna
concernir,ir,cer,c,er,n,3,1,0,1,cier,an,1,conciernan
confesar,ar,fe,NULL,fe,s,1,0,0,0,fie,o,1,confieso
confesar,ar,fe,NULL,fe,s,2,0,0,0,fie,as,1,confiesas
confesar,ar,fe,NULL,fe,s,3,0,0,0,fie,a,1,confiesa
confesar,ar,fe,NULL,fe,s,3,1,0,0,fie,an,1,confiesan
confesar,ar,fe,NULL,fe,s,1,0,0,1,fie,e,1,confiese
confesar,ar,fe,NULL,fe,s,2,0,0,1,fie,es,1,confieses
confesar,ar,fe,NULL,fe,s,3,0,0,1,fie,e,1,confiese
confesar,ar,fe,NULL,fe,s,3,1,0,1,fie,en,1,confiesen
confesar,ar,fe,NULL,fe,s,2,0,0,2,fie,a,1,confiesa
confesar,ar,fe,NULL,fe,s,3,0,0,2,fie,e,1,confiese
confesar,ar,fe,NULL,fe,s,3,1,0,2,fie,en,1,confiesen
contener,er,te,NULL,te,n,1,0,0,0,ten,go,1,contengo
contener,er,te,NULL,te,n,2,0,0,0,tie,es,1,contienes
contener,er,te,NULL,te,n,3,0,0,0,tie,e,1,contiene
contener,er,te,NULL,te,n,3,1,0,0,tie,en,1,contienen
contener,er,te,NULL,te,n,1,0,2,0,tu,ve,1,contuve
contener,er,te,NULL,te,n,2,0,2,0,tu,viste,1,contuviste
contener,er,te,NULL,te,n,3,0,2,0,tu,vo,1,contuvo
contener,er,te,NULL,te,n,1,1,2,0,tu,vimos,1,contuvimos
contener,er,te,NULL,te,n,2,1,2,0,tu,visteis,1,contuvisteis
contener,er,te,NULL,te,n,3,1,2,0,tu,vieron,1,contuvieron
contener,er,te,NULL,te,n,1,0,3,0,ten,dré,1,contendré
contener,er,te,NULL,te,n,2,0,3,0,ten,drás,1,contendrás
contener,er,te,NULL,te,n,3,0,3,0,ten,drá,1,contendrá
contener,er,te,NULL,te,n,1,1,3,0,ten,dremos,1,contendremos
contener,er,te,NULL,te,n,2,1,3,0,ten,dréis,1,contendréis
contener,er,te,NULL,te,n,3,1,3,0,ten,drán,1,contendrán
contener,er,te,NULL,te,n,1,0,4,0,ten,dría,1,contendría
contener,er,te,NULL,te,n,2,0,4,0,ten,drías,1,contendrías
contener,er,te,NULL,te,n,3,0,4,0,ten,dría,1,contendría
contener,er,te,NULL,te,n,1,1,4,0,ten,dríamos,1,contendríamos
contener,er,te,NULL,te,n,2,1,4,0,ten,dríais,1,contendríais
