infinitivo,ending,pensyl,prepensyl,pospensyl,stem,null,null,tense,mood,class_pensyl,class_suff,1,1,conjugacion
aconsejar,ar,se,NULL,se,j,null,null,1,0,0,aba,1,1,aconsejaba
aconsejar,ar,se,NULL,se,j,null,null,1,0,0,abas,1,1,aconsejabas
aconsejar,ar,se,NULL,se,j,null,null,1,0,0,aba,1,1,aconsejaba
aconsejar,ar,se,NULL,se,j,null,null,1,0,0,ábamos,1,1,aconsejábamos
aconsejar,ar,se,NULL,se,j,null,null,1,0,0,abais,1,1,aconsejabais
aconsejar,ar,se,NULL,se,j,null,null,1,0,0,aban,1,1,aconsejaban
aconsejar,ar,se,NULL,se,j,null,null,2,0,0,é,0,1,aconsejé
aconsejar,ar,se,NULL,se,j,null,null,2,0,0,aste,1,1,aconsejaste
aconsejar,ar,se,NULL,se,j,null,null,2,0,0,ó,0,1,aconsejó
aconsejar,ar,se,NULL,se,j,null,null,2,0,0,amos,1,1,aconsejamos
aconsejar,ar,se,NULL,se,j,null,null,2,0,0,asteis,1,1,aconsejasteis
aconsejar,ar,se,NULL,se,j,null,null,2,0,0,aron,1,1,aconsejaron
aconsejar,ar,se,NULL,se,j,null,null,3,0,0,aré,1,1,aconsejaré
aconsejar,ar,se,NULL,se,j,null,null,3,0,0,arás,1,1,aconsejarás
aconsejar,ar,se,NULL,se,j,null,null,3,0,0,ará,1,1,aconsejará
aconsejar,ar,se,NULL,se,j,null,null,3,0,0,aremos,1,1,aconsejaremos
aconsejar,ar,se,NULL,se,j,null,null,3,0,0,aréis,1,1,aconsejaréis
aconsejar,ar,se,NULL,se,j,null,null,3,0,0,arán,1,1,aconsejarán
aconsejar,ar,se,NULL,se,j,null,null,4,0,0,aría,1,1,aconsejaría
aconsejar,ar,se,NULL,se,j,null,null,4,0,0,arías,1,1,aconsejarías
aconsejar,ar,se,NULL,se,j,null,null,4,0,0,aría,1,1,aconsejaría
aconsejar,ar,se,NULL,se,j,null,null,4,0,0,aríamos,1,1,aconsejaríamos
aconsejar,ar,se,NULL,se,j,null,null,4,0,0,aríais,1,1,aconsejaríais
aconsejar,ar,se,NULL,se,j,null,null,4,0,0,arían,1,1,aconsejarían
aconsejar,ar,se,NULL,se,j,null,null,0,1,0,e,0,1,aconseje
aconsejar,ar,se,NULL,se,j,null,null,0,1,0,es,0,1,aconsejes
aconsejar,ar,se,NULL,se,j,null,null,0,1,0,e,0,1,aconseje
aconsejar,ar,se,NULL,se,j,null,null,0,1,0,emos,1,1,aconsejemos
aconsejar,ar,se,NULL,se,j,null,null,0,1,0,éis,0,1,aconsejéis
aconsejar,ar,se,NULL,se,j,null,null,0,1,0,en,0,1,aconsejen
aconsejar,ar,se,NULL,se,j,null,null,1,1,0,ara,1,1,aconsejara
aconsejar,ar,se,NULL,se,j,null,null,1,1,0,aras,1,1,aconsejaras
aconsejar,ar,se,NULL,se,j,null,null,1,1,0,ara,1,1,aconsejara
aconsejar,ar,se,NULL,se,j,null,null,1,1,0,áramos,1,1,aconsejáramos
aconsejar,ar,se,NULL,se,j,null,null,1,1,0,arais,1,1,aconsejarais
aconsejar,ar,se,NULL,se,j,null,null,1,1,0,aran,1,1,aconsejaran
aconsejar,ar,se,NULL,se,j,null,null,3,1,0,are,1,1,aconsejare
aconsejar,ar,se,NULL,se,j,null,null,3,1,0,ares,1,1,aconsejares
aconsejar,ar,se,NULL,se,j,null,null,3,1,0,are,1,1,aconsejare
aconsejar,ar,se,NULL,se,j,null,null,3,1,0,áremos,1,1,aconsejáremos
aconsejar,ar,se,NULL,se,j,null,null,3,1,0,areis,1,1,aconsejareis
aconsejar,ar,se,NULL,se,j,null,null,3,1,0,aren,1,1,aconsejaren
aconsejar,ar,se,NULL,se,j,null,null,0,2,-,?,0,null,-
aconsejar,ar,se,NULL,se,j,null,null,0,2,0,a,0,1,aconseja
aconsejar,ar,se,NULL,se,j,null,null,0,2,0,e,0,1,aconseje
aconsejar,ar,se,NULL,se,j,null,null,0,2,0,emos,1,1,aconsejemos
aconsejar,ar,se,NULL,se,j,null,null,0,2,0,ad,0,1,aconsejad
aconsejar,ar,se,NULL,se,j,null,null,0,2,0,en,0,1,aconsejen
afrontar,ar,fron,f,ron,t,null,null,0,0,0,o,0,1,afronto
afrontar,ar,fron,f,ron,t,null,null,0,0,0,as,0,1,afrontas
afrontar,ar,fron,f,ron,t,null,null,0,0,0,a,0,1,afronta
afrontar,ar,fron,f,ron,t,null,null,0,0,0,amos,1,1,afrontamos
afrontar,ar,fron,f,ron,t,null,null,0,0,0,áis,0,1,afrontáis
afrontar,ar,fron,f,ron,t,null,null,0,0,0,an,0,1,afrontan
afrontar,ar,fron,f,ron,t,null,null,1,0,0,aba,1,1,afrontaba
afrontar,ar,fron,f,ron,t,null,null,1,0,0,abas,1,1,afrontabas
afrontar,ar,fron,f,ron,t,null,null,1,0,0,aba,1,1,afrontaba
afrontar,ar,fron,f,ron,t,null,null,1,0,0,ábamos,1,1,afrontábamos
afrontar,ar,fron,f,ron,t,null,null,1,0,0,abais,1,1,afrontabais
afrontar,ar,fron,f,ron,t,null,null,1,0,0,aban,1,1,afrontaban
afrontar,ar,fron,f,ron,t,null,null,2,0,0,é,0,1,afronté
afrontar,ar,fron,f,ron,t,null,null,2,0,0,aste,1,1,afrontaste
afrontar,ar,fron,f,ron,t,null,null,2,0,0,ó,0,1,afrontó
afrontar,ar,fron,f,ron,t,null,null,2,0,0,amos,1,1,afrontamos
afrontar,ar,fron,f,ron,t,null,null,2,0,0,asteis,1,1,afrontasteis
afrontar,ar,fron,f,ron,t,null,null,2,0,0,aron,1,1,afrontaron
afrontar,ar,fron,f,ron,t,null,null,3,0,0,aré,1,1,afrontaré
afrontar,ar,fron,f,ron,t,null,null,3,0,0,arás,1,1,afrontarás
afrontar,ar,fron,f,ron,t,null,null,3,0,0,ará,1,1,afrontará
afrontar,ar,fron,f,ron,t,null,null,3,0,0,aremos,1,1,afrontaremos
afrontar,ar,fron,f,ron,t,null,null,3,0,0,aréis,1,1,afrontaréis
afrontar,ar,fron,f,ron,t,null,null,3,0,0,arán,1,1,afrontarán
afrontar,ar,fron,f,ron,t,null,null,4,0,0,aría,1,1,afrontaría
afrontar,ar,fron,f,ron,t,null,null,4,0,0,arías,1,1,afrontarías
afrontar,ar,fron,f,ron,t,null,null,4,0,0,aría,1,1,afrontaría
afrontar,ar,fron,f,ron,t,null,null,4,0,0,aríamos,1,1,afrontaríamos
afrontar,ar,fron,f,ron,t,null,null,4,0,0,aríais,1,1,afrontaríais
afrontar,ar,fron,f,ron,t,null,null,4,0,0,arían,1,1,afrontarían
afrontar,ar,fron,f,ron,t,null,null,0,1,0,e,0,1,afronte
afrontar,ar,fron,f,ron,t,null,null,0,1,0,es,0,1,afrontes
afrontar,ar,fron,f,ron,t,null,null,0,1,0,e,0,1,afronte
afrontar,ar,fron,f,ron,t,null,null,0,1,0,emos,1,1,afrontemos
afrontar,ar,fron,f,ron,t,null,null,0,1,0,éis,0,1,afrontéis
afrontar,ar,fron,f,ron,t,null,null,0,1,0,en,0,1,afronten
afrontar,ar,fron,f,ron,t,null,null,1,1,0,ara,1,1,afrontara
afrontar,ar,fron,f,ron,t,null,null,1,1,0,aras,1,1,afrontaras
afrontar,ar,fron,f,ron,t,null,null,1,1,0,ara,1,1,afrontara
afrontar,ar,fron,f,ron,t,null,null,1,1,0,áramos,1,1,afrontáramos
afrontar,ar,fron,f,ron,t,null,null,1,1,0,arais,1,1,afrontarais
afrontar,ar,fron,f,ron,t,null,null,1,1,0,aran,1,1,afrontaran
afrontar,ar,fron,f,ron,t,null,null,3,1,0,are,1,1,afrontare
afrontar,ar,fron,f,ron,t,null,null,3,1,0,ares,1,1,afrontares
afrontar,ar,fron,f,ron,t,null,null,3,1,0,are,1,1,afrontare
afrontar,ar,fron,f,ron,t,null,null,3,1,0,áremos,1,1,afrontáremos
afrontar,ar,fron,f,ron,t,null,null,3,1,0,areis,1,1,afrontareis
afrontar,ar,fron,f,ron,t,null,null,3,1,0,aren,1,1,afrontaren
afrontar,ar,fron,f,ron,t,null,null,0,2,-,?,0,null,-
afrontar,ar,fron,f,ron,t,null,null,0,2,0,a,0,1,afronta
afrontar,ar,fron,f,ron,t,null,null,0,2,0,e,0,1,afronte
afrontar,ar,fron,f,ron,t,null,null,0,2,0,emos,1,1,afrontemos
afrontar,ar,fron,f,ron,t,null,null,0,2,0,ad,0,1,afrontad
afrontar,ar,fron,f,ron,t,null,null,0,2,0,en,0,1,afronten
estar,ar,es,NULL,es,t,null,null,0,0,0,oy,0,1,estoy
estar,ar,es,NULL,es,t,null,null,0,0,0,ás,0,1,estás
estar,ar,es,NULL,es,t,null,null,0,0,0,á,0,1,está
estar,ar,es,NULL,es,t,null,null,0,0,0,amos,1,1,estamos
estar,ar,es,NULL,es,t,null,null,0,0,0,áis,0,1,estáis
estar,ar,es,NULL,es,t,null,null,0,0,0,án,0,1,están
estar,ar,es,NULL,es,t,null,null,1,0,0,aba,1,1,estaba
estar,ar,es,NULL,es,t,null,null,1,0,0,abas,1,1,estabas
estar,ar,es,NULL,es,t,null,null,1,0,0,aba,1,1,estaba
estar,ar,es,NULL,es,t,null,null,1,0,0,ábamos,1,1,estábamos
estar,ar,es,NULL,es,t,null,null,1,0,0,abais,1,1,estabais
estar,ar,es,NULL,es,t,null,null,1,0,0,aban,1,1,estaban
estar,ar,es,NULL,es,t,null,null,2,0,0,uve,1,1,estuve
estar,ar,es,NULL,es,t,null,null,2,0,0,uviste,1,1,estuviste
estar,ar,es,NULL,es,t,null,null,2,0,0,uvo,1,1,estuvo
estar,ar,es,NULL,es,t,null,null,2,0,0,uvimos,1,1,estuvimos
estar,ar,es,NULL,es,t,null,null,2,0,0,uvisteis,1,1,estuvisteis
estar,ar,es,NULL,es,t,null,null,2,0,0,uvieron,1,1,estuvieron
estar,ar,es,NULL,es,t,null,null,3,0,0,aré,1,1,estaré
estar,ar,es,NULL,es,t,null,null,3,0,0,arás,1,1,estarás
estar,ar,es,NULL,es,t,null,null,3,0,0,ará,1,1,estará
estar,ar,es,NULL,es,t,null,null,3,0,0,aremos,1,1,estaremos
estar,ar,es,NULL,es,t,null,null,3,0,0,aréis,1,1,estaréis
estar,ar,es,NULL,es,t,null,null,3,0,0,arán,1,1,estarán
estar,ar,es,NULL,es,t,null,null,4,0,0,aría,1,1,estaría
estar,ar,es,NULL,es,t,null,null,4,0,0,arías,1,1,estarías
estar,ar,es,NULL,es,t,null,null,4,0,0,aría,1,1,estaría
estar,ar,es,NULL,es,t,null,null,4,0,0,aríamos,1,1,estaríamos
estar,ar,es,NULL,es,t,null,null,4,0,0,aríais,1,1,estaríais
estar,ar,es,NULL,es,t,null,null,4,0,0,arían,1,1,estarían
estar,ar,es,NULL,es,t,null,null,0,1,0,é,0,1,esté
estar,ar,es,NULL,es,t,null,null,0,1,0,és,0,1,estés
estar,ar,es,NULL,es,t,null,null,0,1,0,é,0,1,esté
estar,ar,es,NULL,es,t,null,null,0,1,0,emos,1,1,estemos
estar,ar,es,NULL,es,t,null,null,0,1,0,éis,0,1,estéis
estar,ar,es,NULL,es,t,null,null,0,1,0,én,0,1,estén
estar,ar,es,NULL,es,t,null,null,1,1,0,uviera,1,1,estuviera
estar,ar,es,NULL,es,t,null,null,1,1,0,uvieras,1,1,estuvieras
estar,ar,es,NULL,es,t,null,null,1,1,0,uviera,1,1,estuviera
estar,ar,es,NULL,es,t,null,null,1,1,0,uviéramos,1,1,estuviéramos
estar,ar,es,NULL,es,t,null,null,1,1,0,uvierais,1,1,estuvierais
estar,ar,es,NULL,es,t,null,null,1,1,0,uvieran,1,1,estuvieran
estar,ar,es,NULL,es,t,null,null,3,1,0,uviere,1,1,estuviere
estar,ar,es,NULL,es,t,null,null,3,1,0,uvieres,1,1,estuvieres
estar,ar,es,NULL,es,t,null,null,3,1,0,uviere,1,1,estuviere
estar,ar,es,NULL,es,t,null,null,3,1,0,uviéremos,1,1,estuviéremos
estar,ar,es,NULL,es,t,null,null,3,1,0,uviereis,1,1,estuviereis
estar,ar,es,NULL,es,t,null,null,3,1,0,uvieren,1,1,estuvieren
estar,ar,es,NULL,es,t,null,null,0,2,-,?,0,null,-
estar,ar,es,NULL,es,t,null,null,0,2,0,á,0,1,está
estar,ar,es,NULL,es,t,null,null,0,2,0,é,0,1,esté
estar,ar,es,NULL,es,t,null,null,0,2,0,emos,1,1,estemos
estar,ar,es,NULL,es,t,null,null,0,2,0,ad,0,1,estad
estar,ar,es,NULL,es,t,null,null,0,2,0,én,0,1,estén
alertar,ar,ler,l,er,t,null,null,0,0,0,o,0,1,alerto
alertar,ar,ler,l,er,t,null,null,0,0,0,as,0,1,alertas
alertar,ar,ler,l,er,t,null,null,0,0,0,a,0,1,alerta
alertar,ar,ler,l,er,t,null,null,0,0,0,amos,1,1,alertamos
alertar,ar,ler,l,er,t,null,null,0,0,0,áis,0,1,alertáis
alertar,ar,ler,l,er,t,null,null,0,0,0,an,0,1,alertan
alertar,ar,ler,l,er,t,null,null,1,0,0,aba,1,1,alertaba
alertar,ar,ler,l,er,t,null,null,1,0,0,abas,1,1,alertabas
alertar,ar,ler,l,er,t,null,null,1,0,0,aba,1,1,alertaba
alertar,ar,ler,l,er,t,null,null,1,0,0,ábamos,1,1,alertábamos
alertar,ar,ler,l,er,t,null,null,1,0,0,abais,1,1,alertabais
alertar,ar,ler,l,er,t,null,null,1,0,0,aban,1,1,alertaban
alertar,ar,ler,l,er,t,null,null,2,0,0,é,0,1,alerté
alertar,ar,ler,l,er,t,null,null,2,0,0,aste,1,1,alertaste
alertar,ar,ler,l,er,t,null,null,2,0,0,ó,0,1,alertó
alertar,ar,ler,l,er,t,null,null,2,0,0,amos,1,1,alertamos
alertar,ar,ler,l,er,t,null,null,2,0,0,asteis,1,1,alertasteis
alertar,ar,ler,l,er,t,null,null,2,0,0,aron,1,1,alertaron
alertar,ar,ler,l,er,t,null,null,3,0,0,aré,1,1,alertaré
alertar,ar,ler,l,er,t,null,null,3,0,0,arás,1,1,alertarás
alertar,ar,ler,l,er,t,null,null,3,0,0,ará,1,1,alertará
alertar,ar,ler,l,er,t,null,null,3,0,0,aremos,1,1,alertaremos
alertar,ar,ler,l,er,t,null,null,3,0,0,aréis,1,1,alertaréis
alertar,ar,ler,l,er,t,null,null,3,0,0,arán,1,1,alertarán
